Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Include?,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,size ratio,cv,numtrials,rangeeaten,prop fully eaten,,'Type2_Rsquare','Type2_AIC','Type2a_lowCI','Type2a_median','Type2a_upCI','Type2h_lowCI','Type2h_median','Type2h_upCI','Type3_Rsquare','Type3_AIC','Type3a_lowCI','Type3a_median','Type3a_upCI','Type3h_lowCI','Type3h_median','Type3h_upCI','Type3q_lowCI','Type3q_median','Type3q_upCI'
11,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,11,200,0.75,89.31,7.29E-03,6.06E-03,9.18E-03,3.82E-02,3.19E-02,4.56E-02,24 hr trial,,31.53,0.36,60,11.5,0,,0.75,89.31,7.29E-03,6.06E-03,9.18E-03,3.82E-02,3.19E-02,4.56E-02,0.75,90.42,0.012300827,0.000237611,0.131147441,3.44E-02,2.31E-09,0.056957396,-0.078589229,-0.440622495,0.499999364
12,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,1.07E-02,% adult mass,8,m^2 per pred per day,12,200,0.79,44.12,2.54E-03,2.15E-03,2.97E-03,2.40E-02,8.04E-03,4.17E-02,24 hr trial,,6.21,0.48,60,7.7,0,,0.79,44.12,2.54E-03,2.15E-03,2.97E-03,2.40E-02,8.04E-03,4.17E-02,0.79,45.57,0.00410999,0.000236252,0.01656756,1.53E-02,6.76E-09,0.056748695,-0.071610956,-0.257812045,0.336769261
13,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.49E-02,% adult mass,7,m^2 per pred per day,13,200,0.75,44.3,2.85E-03,2.28E-03,3.58E-03,3.82E-02,1.83E-02,5.81E-02,24 hr trial,,2.67,0.44,60,7.4,0,,0.75,44.3,2.85E-03,2.28E-03,3.58E-03,3.82E-02,1.83E-02,5.81E-02,0.75,45.38,0.00921454,0.000356359,0.030424291,2.03E-06,3.73E-09,0.069698938,-0.184618492,-0.328599033,0.304963503
14,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,14,200,0.62,42.9,3.21E-03,2.53E-03,4.64E-03,7.39E-02,5.36E-02,9.92E-02,24 hr trial,,1,0.37,60,5.5,0,,0.62,42.9,3.21E-03,2.53E-03,4.64E-03,7.39E-02,5.36E-02,9.92E-02,0.63,44.11,0.005441377,9.41E-05,0.088657118,5.91E-02,2.29E-09,0.121604968,-0.07313175,-0.484214797,0.499999885
15,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,15,200,0.36,-19.29,1.02E-03,6.41E-04,1.89E-03,1.74E-01,4.09E-02,3.49E-01,24 hr trial,,0.95,0.4,60,1.5,0,,0.36,-19.29,1.02E-03,6.41E-04,1.89E-03,1.74E-01,4.09E-02,3.49E-01,0.36,-17.54,7.14E-03,8.72E-05,0.042305991,2.03E-05,1.82E-09,0.317928969,-0.298610102,-0.5,0.353695697
16,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,16,200,0.71,-34.89,2.20E-03,1.79E-03,2.58E-03,1.14E-01,8.55E-02,1.42E-01,48 hr trial,,31.53,0.36,60,3.28,0,,0.71,-34.89,2.20E-03,1.79E-03,2.58E-03,1.14E-01,8.55E-02,1.42E-01,0.71,-33.94,2.29E-03,6.98E-05,0.034451795,1.08E-01,3.36E-09,0.179047908,-0.003877554,-0.418335666,0.499762228
17,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,1.07E-02,% adult mass,8,m^2 per pred per day,17,200,0.77,-38.34,1.16E-03,9.76E-04,1.43E-03,5.09E-02,2.56E-03,9.55E-02,48 hr trial,,6.21,0.5,60,3.8,0,,0.77,-38.34,1.16E-03,9.76E-04,1.43E-03,5.09E-02,2.56E-03,9.55E-02,0.77,-36.71,9.05E-04,3.93E-05,0.003585258,6.25E-02,1.71E-08,0.168937201,0.043180526,-0.15958774,0.499999704
18,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.49E-02,% adult mass,7,m^2 per pred per day,18,200,0.72,-78.74,1.19E-03,9.88E-04,1.51E-03,1.50E-01,9.47E-02,2.00E-01,48 hr trial,,2.67,0.41,60,2.48,0,,0.72,-78.74,1.19E-03,9.88E-04,1.51E-03,1.50E-01,9.47E-02,2.00E-01,0.72,-77.3,4.01E-03,7.20E-05,0.015127946,8.75E-02,1.36E-09,0.262292472,-0.187438865,-0.364381581,0.417004327
19,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,19,200,0.77,-124.3,7.77E-04,6.16E-04,9.84E-04,1.63E-01,8.13E-02,2.32E-01,48 hr trial,,1,0.42,60,1.93,0,,0.77,-124.3,7.77E-04,6.16E-04,9.84E-04,1.63E-01,8.13E-02,2.32E-01,0.77,-122.56,1.50E-03,2.37E-05,0.01185575,1.20E-01,8.74E-09,0.306354985,-0.10282598,-0.375365233,0.499998986
20,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,20,200,0.48,-167.74,2.97E-04,2.02E-04,4.46E-04,4.52E-01,1.27E-05,7.60E-01,48 hr trial,,0.95,0.42,60,0.65,0,,0.48,-167.74,2.97E-04,2.02E-04,4.46E-04,4.52E-01,1.27E-05,7.60E-01,0.48,-166.12,8.70E-04,9.43E-06,0.006565174,6.23E-05,1.04E-10,0.944467303,-0.172944974,-0.427465286,0.499999791
