Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Include?,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,size ratio,cv,numtrials,rangeeaten,prop fully eaten,,'Type2_Rsquare','Type2_AIC','Type2a_lowCI','Type2a_median','Type2a_upCI','Type2h_lowCI','Type2h_median','Type2h_upCI','Type3_Rsquare','Type3_AIC','Type3a_lowCI','Type3a_median','Type3a_upCI','Type3h_lowCI','Type3h_median','Type3h_upCI','Type3q_lowCI','Type3q_median','Type3q_upCI'
689,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,0,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,,,,m^3 per pred per day,694,200,0.48,12.1,1.77E-04,1.32E-04,2.71E-04,7.57E-02,2.96E-02,1.28E-01,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,#DIV/0!,0.45,12,4.2,0,,0.48,12.1,1.77E-04,1.32E-04,2.71E-04,7.57E-02,2.96E-02,1.28E-01,0.51,14.85,1.31E-06,9.74E-07,2.02E-06,0.116503031,0.083022528,0.157375203,0.499999983,0.499997887,0.5
690,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,0,N,0,11,,10,,2.35E+03,8.57E-02,Original length,1,,,,m^3 per pred per day,695,200,0.95,-0.9,1.84E-04,1.76E-04,2.01E-04,9.70E-10,7.93E-11,4.86E-03,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,#DIV/0!,0.51,12,8.61,0,,0.95,-0.9,1.84E-04,1.76E-04,2.01E-04,9.70E-10,7.93E-11,4.86E-03,0.96,-1.91,1.47E-05,1.19E-06,8.33E-05,7.37E-03,3.27E-14,0.041398002,0.239148765,0.074298003,0.499999856
691,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,1,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,696,200,0.9,-8.16,2.02E-04,1.75E-04,2.72E-04,2.30E-02,5.88E-10,6.69E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,43.23,0.3,9,3.37,0,,0.9,-8.16,2.02E-04,1.75E-04,2.72E-04,2.30E-02,5.88E-10,6.69E-02,0.9,-3.8,4.12E-04,1.94E-06,0.005196825,2.58E-08,5.73E-14,0.094232778,-0.082169811,-0.323699939,0.499999735
692,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,1,N,0,11,,10,,2.35E+03,8.57E-02,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,697,200,0.83,-0.61,1.62E-04,1.48E-04,3.00E-04,1.29E-08,5.83E-10,7.37E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,43.23,0.37,9,3.75,0,,0.83,-0.61,1.62E-04,1.48E-04,3.00E-04,1.29E-08,5.83E-10,7.37E-02,0.86,2.62,1.39E-06,9.38E-07,0.008670124,4.71E-02,2.85E-11,0.096077308,0.499999837,-0.377027054,0.5
693,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,1,N,0,6,,10,,2.35E+03,2.12E-01,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,698,200,0.88,0.93,1.94E-04,1.77E-04,2.52E-04,2.00E-09,3.45E-10,3.42E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,106.96,0.4,9,4.87,0,,0.88,0.93,1.94E-04,1.77E-04,2.52E-04,2.00E-09,3.45E-10,3.42E-02,0.91,2.44,1.45E-06,1.00E-06,0.000699297,2.75E-02,2.34E-14,0.063731225,0.49999985,-0.120448531,0.5
694,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,1,N,0,9,,10,,2.35E+03,2.12E-01,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,699,200,0.41,4.37,3.06E-04,1.70E-04,1.26E-03,8.83E-02,4.23E-08,1.88E-01,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,106.96,0.19,9,1.97,0,,0.41,4.37,3.06E-04,1.70E-04,1.26E-03,8.83E-02,4.23E-08,1.88E-01,0.42,8.97,1.48E-03,2.27E-06,0.049992853,3.32E-02,7.77E-13,0.192452717,-0.194198005,-0.5,0.499999999
695,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,1,N,0,13,,10,,2.35E+03,2.12E-01,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,700,200,0.46,-7.17,1.60E-04,8.68E-05,1.16E-03,1.56E-01,1.01E-08,3.55E-01,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5",,106.96,0.21,9,1.14,0,,0.46,-7.17,1.60E-04,8.68E-05,1.16E-03,1.56E-01,1.01E-08,3.55E-01,0.48,-2.52,1.60E-03,1.13E-06,0.054664254,3.23E-02,5.68E-13,0.349723425,-0.273776476,-0.5,0.5
696,Gonçalves et al 2016 ITALIAN J OF ZOOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Procambarus clarkii,"Wild caught, intermolt",,Metazoan,Invertebrate,Mollusk,Bivalve,Zebra mussels,Dreissena polymorpha,Juvenile,,Raw data,1,N,168,25,,1,7.55E+02,2.00E+03,1.26E+04,Original length,2,1.17E+02,Original length,1,m^2.5 per pred per day,701,200,0.25,248.92,1.09E-02,6.02E-03,1.95E-02,6.54E-03,9.61E-09,1.24E-02,"only first day was starved for a week Length of pred is carapace width minus rostrum, length of prey is shell length",,107.86,0.5,38,102,0.05,,0.25,248.92,1.09E-02,6.02E-03,1.95E-02,6.54E-03,9.61E-09,1.24E-02,0.25,251,0.00030373,0.000127704,0.576364745,8.33E-03,2.22E-09,0.014199174,0.499772397,-0.496457628,0.499999908
697,Hunt and Swift 2010 J OF FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Enallagma hageni,"Wild caught, late instars",3,Metazoan,Invertebrate,Crustacean,Cladoceran,Cladoceran,Polyphemus pediculus,,2,Mean,1,N,24,,,1,,7.00E+01,1.12E+02,Alternate family length,1,1.04E-02,Original length,2,m^3 per pred per day,702,200,0.87,503.85,1.24E-05,1.05E-05,1.54E-05,1.15E-03,9.17E-04,1.34E-03,,,10716.54,0.88,56,617.54,0,,0.87,503.85,1.24E-05,1.05E-05,1.54E-05,1.15E-03,9.17E-04,1.34E-03,0.89,499.5,2.65E-08,2.21E-08,4.51E-07,0.001466436,0.001146668,0.001661001,0.499999875,0.253126841,0.499999986
698,Hunt and Swift 2010 J OF FRESH BIOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura verticalis,"Wild caught, late instars",3,Metazoan,Invertebrate,Crustacean,Cladoceran,Cladoceran,Polyphemus pediculus,,2,Mean,1,N,24,,,1,,7.00E+01,1.31E+02,Alternate species length,1,1.04E-02,Original length,2,m^3 per pred per day,703,200,0.8,542.01,9.71E-06,8.10E-06,1.20E-05,8.81E-04,7.20E-04,1.02E-03,,,12533.46,0.96,56,669.01,0,,0.8,542.01,9.71E-06,8.10E-06,1.20E-05,8.81E-04,7.20E-04,1.02E-03,0.81,541.06,1.92E-08,1.33E-08,4.46E-06,0.001171579,0.000889016,0.001324803,0.499996778,0.050909294,0.499999982
699,Kushner and Hovel 2006 JEMBE,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Mollusk,Gastropod,Pteropurpura festiva,Wild caught,,Metazoan,Invertebrate,Mollusk,Bivalve,Asian mussel,Musculista senhousia,,,Raw data,1,N,48,19,,2,4.91E+02,,1.53E+04,Alternate species length,1,6.24E+02,Original length,1,m^2 per pred per day,704,200,0.34,-30.49,1.45E-02,3.65E-03,7.56E-02,8.43E-01,3.23E-01,1.32E+00,"300 shoots of Zostera marina, eelgrass, per m2/prey length is shell height",,24.59,0.59,16,1.55,0,,0.34,-30.49,1.45E-02,3.65E-03,7.56E-02,8.43E-01,3.23E-01,1.32E+00,0.37,-28.13,0.035413186,0.001076434,0.285450892,7.62E-01,3.53E-10,1.247573057,-0.364746124,-0.5,0.5
700,Kushner and Hovel 2006 JEMBE,Predator,2,,Aquatic,Marine,Metazoan,Invertebrate,Mollusk,Gastropod,Pteropurpura festiva,Wild caught,,Metazoan,Invertebrate,Mollusk,Bivalve,Asian mussel,Musculista senhousia,,,Raw data,1,N,48,19,,2,4.91E+02,,1.53E+04,Alternate species length,1,6.24E+02,Original length,1,m^2 per pred per day,705,200,0.26,-33.56,1.68E-02,7.71E-03,5.30E-02,9.58E-01,7.22E-01,1.19E+00,"1800 shoots of Zostera marina, eelgrass, per m2/prey length is shell length",,24.59,0.59,19,2.02,0,,0.26,-33.56,1.68E-02,7.71E-03,5.30E-02,9.58E-01,7.22E-01,1.19E+00,0.31,-31.52,0.002404118,0.001017969,0.08046599,1.021250847,0.515477199,1.251295322,0.499999997,-0.5,0.5
701,Kratina et al 2007 ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Stenostomum sp.,,3,Unicell,Protozoan,Protozoan,Ciliate,Paramecium,Paramecium sp.,,2,Mean,1,N,,,,16,,9.00E-01,3.08E-02,Original length,1,4.18E-03,Alternate genus length,1,m^3 per pred per day,706,200,0.66,154.07,1.02E-07,9.77E-08,1.08E-07,1.14E-08,1.11E-09,5.71E-04,Without 60 Euplotes aodiculatus presnt,,7.36,0.69,48,22.4,0,,0.66,154.07,1.02E-07,9.77E-08,1.08E-07,1.14E-08,1.11E-09,5.71E-04,0.69,151.33,1.69E-10,1.50E-10,2.01E-10,0.017816489,0.015401997,0.020234625,0.475333602,0.460750786,0.484526503
702,Kratina et al 2007 ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Platyhelminth,,Stenostomum sp.,,3,Unicell,Protozoan,Protozoan,Ciliate,Paramecium,Paramecium sp.,,2,Mean,1,N,,,,16,,9.00E-01,3.08E-02,Original length,1,4.18E-03,Alternate genus length,1,m^3 per pred per day,707,200,0.54,130.76,5.88E-08,5.64E-08,6.11E-08,3.54E-09,1.80E-09,7.80E-09,With 60 Euplotes aodiculatus present,,7.36,0.83,48,15.49,0,,0.54,130.76,5.88E-08,5.64E-08,6.11E-08,3.54E-09,1.80E-09,7.80E-09,0.57,129.4,1.24E-10,9.77E-11,1.63E-10,0.020525967,0.016245838,0.024356699,0.447998114,0.43078855,0.460777596
703,Folsom and Collins 1984 OIKOS,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,Final instar to F-2,,Metazoan,Invertebrate,Crustacean,Amphipod,amphipod,Hyalella azteca,,,Mean,1,N,24,,,1,2.11E+02,1.06E+03,2.25E+03,Alternate species length,2,1.00E+00,Average species mass,1,m^2.5 per pred per day,708,200,0.18,1042.17,8.18E-01,5.72E-01,1.12E+00,1.19E-03,8.69E-04,1.44E-03,Bare container,,2248.64,0.28,95,378.6,0,,0.18,1042.17,8.18E-01,5.72E-01,1.12E+00,1.19E-03,8.69E-04,1.44E-03,0.19,1042.38,0.024634898,0.017680343,0.032951332,0.001338303,0.001114934,0.001549181,0.499999746,0.499998437,0.499999946
704,Folsom and Collins 1984 OIKOS,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Anax junius,Final instar to F-2,,Metazoan,Invertebrate,Crustacean,Amphipod,amphipod,Hyalella azteca,,,Mean,1,N,24,,,1,2.11E+02,1.06E+03,2.25E+03,Alternate species length,2,1.00E+00,Average species mass,1,m^2.5 per pred per day,709,200,0.29,977.04,1.56E-01,1.13E-01,2.21E-01,6.93E-04,7.88E-09,1.29E-03,Container with 90cm of Elodea,,2248.64,0.47,95,337.98,0,,0.29,977.04,1.56E-01,1.13E-01,2.21E-01,6.93E-04,7.88E-09,1.29E-03,0.29,978.89,0.005403479,0.003456349,0.755322732,1.34E-03,2.09E-09,0.00181511,0.499885107,-0.233346574,0.49999986
705,Stillman and Simmons 2006 FUNCTIONAL ECOLOGY,Predator,2,,Terrestrial,,Metazoan,Vertebrate,Bird,Passeriformes,Corvus frugilegus,,,,Non living food,Non living food,,Spam cubes,,,,Raw data,0,N,,42,,1,1.60E+05,,4.54E+05,Alternate species mass,1,,,,m^2 per pred per day,710,200,0.8,356.77,7.41E+04,4.56E+04,1.07E+05,1.53E-05,8.67E-06,2.17E-05,"Cut grass arena, sward height 5.28±0.74m",,#DIV/0!,0.58,20,47599.06,0,,0.8,356.77,7.41E+04,4.56E+04,1.07E+05,1.53E-05,8.67E-06,2.17E-05,0.81,358.58,443.2251034,263.4641247,2769097.883,1.91E-05,2.68E-07,2.53E-05,0.499999111,-0.38053987,0.499999982
706,Stillman and Simmons 2006 FUNCTIONAL ECOLOGY,Predator,2,,Terrestrial,,Metazoan,Vertebrate,Bird,Passeriformes,Corvus frugilegus,,,,Non living food,Non living food,,Spam cubes,,,,Raw data,0,N,,42,,1,1.60E+05,,4.54E+05,Alternate species mass,1,,,,m^2 per pred per day,711,200,0.69,382.61,4.59E+04,2.56E+04,8.60E+04,1.39E-05,3.68E-13,2.47E-05,"Uncut grass arena, sward height 7.02±1.14m",,#DIV/0!,0.7,21,54643.33,0,,0.69,382.61,4.59E+04,2.56E+04,8.60E+04,1.39E-05,3.68E-13,2.47E-05,0.72,383.72,241.7611383,129.3174075,17454.3251,1.96E-05,2.36E-14,2.92E-05,0.499999839,0.057481276,0.499999983
707,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, small",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,8.2,,3,,3.20E+06,1.04E+03,Original length,3,3.69E-01,Alternate species length,1,m^3 per pred per day,712,200,0.63,12.23,6.02E-02,3.24E-02,1.61E-01,1.17E-01,2.71E-13,2.17E-01,,,2829.04,0.81,7,7.31,0,,0.63,12.23,6.02E-02,3.24E-02,1.61E-01,1.17E-01,2.71E-13,2.17E-01,0.67,18.69,0.009541175,0.003490154,0.107749481,1.39E-01,2.23E-14,0.251100546,0.49999999,-0.285650223,0.5
708,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, small medium",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,7.4,,4,,3.20E+06,1.78E+03,Original length,4,3.69E-01,Alternate species length,1,m^3 per pred per day,713,200,0.9,8.98,6.73E-02,5.20E-02,1.14E-01,1.83E-02,3.01E-13,5.68E-02,,,4825,0.58,7,11.67,0,,0.9,8.98,6.73E-02,5.20E-02,1.14E-01,1.83E-02,3.01E-13,5.68E-02,0.91,15.56,0.021953939,0.006112054,0.146784624,3.29E-02,2.34E-14,0.08171872,0.253373201,-0.193658267,0.5
709,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, medium",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,8.7,,4,,3.20E+06,2.80E+03,Original length,5,3.69E-01,Alternate species length,1,m^3 per pred per day,714,200,0.99,-1.34,1.00E-01,8.46E-02,1.27E-01,1.27E-02,1.22E-12,2.11E-02,,,7586.39,0.86,8,19.84,0,,0.99,-1.34,1.00E-01,8.46E-02,1.27E-01,1.27E-02,1.22E-12,2.11E-02,1,-5.92,0.017472061,0.012124801,0.099379459,3.17E-02,2.34E-14,0.035633886,0.440056471,-0.037460315,0.5
710,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, large",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,8.5,,2,,3.20E+06,1.54E+04,Original length,6,3.69E-01,Alternate species length,1,m^3 per pred per day,715,200,0.34,33.16,8.54E-02,2.20E-02,4.28E-01,3.61E-02,4.21E-11,1.02E-01,,,41695.72,0.79,7,22.8,0,,0.34,33.16,8.54E-02,2.20E-02,4.28E-01,3.61E-02,4.21E-11,1.02E-01,0.37,39.75,0.009926475,0.000952808,0.740617127,4.45E-02,2.34E-14,0.10955269,0.49999991,-0.5,0.5
711,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,7.9,,1,,3.20E+06,3.21E+05,Original length,1,3.69E-01,Alternate species length,1,m^3 per pred per day,716,200,0.74,54.32,7.14E-01,5.15E-01,6.22E+00,7.85E-11,3.66E-12,1.19E-02,,,868965.21,0.78,7,217.25,0,,0.74,54.32,7.14E-01,5.15E-01,6.22E+00,7.85E-11,3.66E-12,1.19E-02,0.82,58.19,0.082548979,0.029595864,0.639227955,2.34E-14,2.26E-14,0.012725723,0.499999935,0.102939541,0.499999999
712,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Staurostoma mertensii,"Wild caught, Large",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,10.1,,4,,3.20E+06,5.90E+05,Original length,5,3.69E-01,Alternate species length,1,m^3 per pred per day,717,200,0.91,40.18,1.80E-01,1.08E-01,3.12E-01,5.46E-03,1.09E-10,1.29E-02,,,1599234.85,0.77,9,69.14,0,,0.91,40.18,1.80E-01,1.08E-01,3.12E-01,5.46E-03,1.09E-10,1.29E-02,0.92,44.16,0.039286801,0.012349529,1.243705338,9.37E-03,2.93E-14,0.017907187,0.327464189,-0.383640449,0.5
713,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Staurostoma mertensii,"Wild caught, Small",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,8.3,,4,,3.20E+06,6.21E+04,Original length,4,3.69E-01,Alternate species length,1,m^3 per pred per day,718,200,0.87,34.36,1.55E-01,1.02E-01,3.97E-01,2.11E-02,9.92E-03,5.56E-02,,,168060.72,0.83,12,37.39,0,,0.87,34.36,1.55E-01,1.02E-01,3.97E-01,2.11E-02,9.92E-03,5.56E-02,0.88,35.26,0.657088652,0.023520373,1.505994881,3.85E-08,1.68E-12,0.057820822,-0.371809309,-0.5,0.499999999
714,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Catablema vesicarium,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,5.8,,5,,3.20E+06,1.32E+03,Original length,1,3.69E-01,Alternate species length,1,m^3 per pred per day,719,200,0.85,48.89,5.93E-02,3.96E-02,1.15E-01,1.31E-02,2.37E-10,3.24E-02,,,3584.52,0.97,16,37.1,0,,0.85,48.89,5.93E-02,3.96E-02,1.15E-01,1.31E-02,2.37E-10,3.24E-02,0.87,51.38,0.009757649,0.003367128,0.12847445,2.40E-02,1.92E-13,0.04188185,0.499994597,-0.18609361,0.5
715,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Staurostoma mertensii,"Wild caught, Medium",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,7,,4,,3.20E+06,8.55E+04,Original length,2,3.69E-01,Alternate species length,1,m^3 per pred per day,720,200,0.73,40.79,8.09E-02,3.88E-02,1.69E-01,7.04E-03,2.16E-11,2.31E-02,"Fixed density of alternative, mixed zooplankton prey available",,231439.73,1.18,8,51.91,0,,0.73,40.79,8.09E-02,3.88E-02,1.69E-01,7.04E-03,2.16E-11,2.31E-02,0.81,39.82,0.005928336,0.003315921,0.022493353,1.81E-02,2.30E-14,0.033046992,0.499999973,0.11398159,0.5
716,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Staurostoma mertensii,"Wild caught, Small medium",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,10,,4,,3.20E+06,6.80E+04,Original length,3,3.69E-01,Alternate species length,1,m^3 per pred per day,721,200,0.43,53.7,1.39E+00,4.09E-01,2.88E+00,1.63E-02,4.11E-13,3.79E-02,"Fixed density of alternative, mixed zooplankton prey available",,184177.27,0.96,7,117.17,0,,0.43,53.7,1.39E+00,4.09E-01,2.88E+00,1.63E-02,4.11E-13,3.79E-02,0.48,60.29,0.176376382,0.110260773,0.346264864,1.68E-02,2.34E-14,0.039509284,0.499999958,0.032823551,0.5
717,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Hydrozoa,Staurostoma mertensii,"Wild caught, Large medium",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,8.5,,4,,3.20E+06,2.22E+05,Original length,1,3.69E-01,Alternate species length,1,m^3 per pred per day,722,200,0.97,23.45,1.28E-01,1.16E-01,2.02E-01,3.96E-04,3.96E-14,1.18E-02,"Fixed density of alternative, mixed zooplankton prey available",,602134.22,0.79,7,68.18,0,,0.97,23.45,1.28E-01,1.16E-01,2.02E-01,3.96E-04,3.96E-14,1.18E-02,0.98,29.63,0.078254699,0.008057997,0.301838782,3.40E-08,2.34E-14,0.022392919,0.089918797,-0.139060096,0.499999999
718,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, S",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,1.2,,2,,3.20E+06,7.25E+04,Original length,7,3.69E-01,Alternate species length,1,m^3 per pred per day,723,200,0.98,0.11,5.92E-02,5.05E-02,7.84E-02,3.07E-03,2.68E-14,2.51E-02,"Fixed density of alternative, mixed zooplankton prey available",,196332.05,0.84,7,12.31,0,,0.98,0.11,5.92E-02,5.05E-02,7.84E-02,3.07E-03,2.68E-14,2.51E-02,0.99,-0.44,0.011320832,0.007532947,0.044197704,3.90E-02,2.24E-14,0.061189954,0.439711479,0.037598426,0.5
719,De Lafontaine and Leggett 1988 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,"Wild caught, L",,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,1,N,,5.5,,2,,3.20E+06,9.94E+04,Original length,8,3.69E-01,Alternate species length,1,m^3 per pred per day,724,200,0.93,18.36,1.74E-01,1.40E-01,2.94E-01,2.39E-11,3.30E-14,3.87E-02,"Fixed density of alternative, mixed zooplankton prey available",,269176.33,1.16,7,50.94,0,,0.93,18.36,1.74E-01,1.40E-01,2.94E-01,2.39E-11,3.30E-14,3.87E-02,0.96,22.64,0.030961584,0.00997916,0.19869062,2.43E-14,2.25E-14,0.05334197,0.447351446,-0.010935633,0.5
720,Akre and Johnson 1979 J OF ANIMAL ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura hastata (Anomalagrion hastatum),3rd day in final instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Cladoceran,Simocephalus vetulus,,2,Mean,1,N,24,25,,1,,,8.81E+00,Alternate genus length,2,2.81E+00,Alternate genus length,1,m^3 per pred per day,725,200,0.61,144.46,8.18E-04,7.22E-04,1.21E-03,5.29E-09,2.81E-10,7.97E-03,Single prey,,3.14,0.58,29,40.48,0,,0.61,144.46,8.18E-04,7.22E-04,1.21E-03,5.29E-09,2.81E-10,7.97E-03,0.62,146.8,1.52E-03,5.88E-06,0.167574504,2.69E-14,2.34E-14,1.35E-08,-0.055436807,-0.499999991,0.450799013
721,Akre and Johnson 1979 J OF ANIMAL ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura hastata (Anomalagrion hastatum),3rd day in final instar,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,,2,Mean,1,N,24,25,,1,,,8.81E+00,Alternate genus length,2,8.16E-01,Average species mass,22,m^3 per pred per day,726,200,0.56,162.63,1.32E-02,8.40E-03,2.04E-02,1.29E-02,1.15E-02,1.43E-02,Single prey,,10.8,0.33,30,55.59,0,,0.56,162.63,1.32E-02,8.40E-03,2.04E-02,1.29E-02,1.15E-02,1.43E-02,0.57,164.55,0.001119975,0.000187955,0.062953043,0.013560363,0.010720502,0.015276436,0.296010415,-0.214829123,0.499999973
